,0,1,2,3
dataset,cam4,spcam,cam4,spcam
model,cam4,cam4,spcam,spcam
test_skill_ave_clipped,0.873037934303283,0.27362543344497603,0.24490360915660803,0.7306825518608091
test_skill_ave_trunc_PTTEND_29,0.921258330345153,0.377977848052978,0.557577848434448,0.909531533718109
test_skill_ave_trunc_PTTEND_28,0.961547315120697,0.207323014736175,0.706744730472564,0.9060027599334711
test_skill_ave_trunc_PTTEND_27,0.9546118974685661,0.300480008125305,0.48516136407852106,0.862476408481597
test_skill_ave_trunc_PTTEND_26,0.9441862702369691,0.38133415579795804,0.430260092020034,0.831561028957366
test_skill_ave_trunc_PTTEND_25,0.93696641921997,0.209969669580459,0.107655815780162,0.7969359755516051
test_skill_ave_trunc_PTTEND_24,0.9266751408576961,0.21438878774642903,0.24499329924583402,0.7574414610862731
test_skill_ave_trunc_PTTEND_23,0.8936160206794731,0.147752851247787,0.173375189304351,0.713977038860321
test_skill_ave_trunc_PTTEND_22,0.913403809070587,0.139249593019485,0.20922461152076702,0.7176182270050041
test_skill_ave_trunc_PTTEND_21,0.9054315090179441,0.162091046571731,0.18772359192371302,0.7211591601371761
test_skill_ave_trunc_PTTEND_20,0.890596866607666,0.31603333353996205,0.19449765980243602,0.736290693283081
test_skill_ave_trunc_PTTEND_19,0.9113516211509701,0.53612869977951,0.121324613690376,0.7734019756317131
test_skill_ave_trunc_PTTEND_18,0.9430738091468811,0.6649842858314511,0.528116524219512,0.8459041714668271
test_skill_ave_trunc_PTTEND_17,0.948394238948822,0.684791088104248,0.742029011249542,0.8713407516479491
test_skill_ave_trunc_PTTEND_16,0.9471657872200011,0.710102021694183,0.44315186142921403,0.8849902153015131
test_skill_ave_trunc_PTTEND_15,0.9402438998222351,0.680017590522766,0.040206532925367,0.8688721060752861
test_skill_ave_trunc_PTTEND_14,0.9172348380088801,0.56843364238739,0.0,0.8184049725532531
test_skill_ave_trunc_PTTEND_13,0.8831986188888551,0.39532107114791804,0.0,0.7626683115959161
test_skill_ave_trunc_PTTEND_12,0.865521967411041,0.025544203817844002,0.0,0.7562901377677911
test_skill_ave_trunc_PTTEND_11,0.86328899860382,0.0,0.0,0.7760649919509881
test_skill_ave_trunc_PTTEND_10,0.8954082727432251,0.0,0.300517797470092,0.748362720012664
test_skill_ave_trunc_PTTEND_09,0.918247878551483,0.0,0.440993785858154,0.71077537536621
test_skill_ave_trunc_PTTEND_08,0.9195094108581541,0.0,0.345333814620971,0.695908665657043
test_skill_ave_trunc_PTTEND_07,0.9223831295967101,0.0,0.5427370667457581,0.7250453233718871
test_skill_ave_trunc_PTTEND_06,0.9501572847366331,0.0,0.6971054077148431,0.9092026352882381
test_skill_ave_trunc_PTTEND_05,0.93205040693283,0.719301760196685,0.731148064136505,0.959949374198913
test_skill_ave_trunc_PTTEND_04,0.9585899710655211,0.82980853319168,0.806134581565856,0.9747182130813591
test_skill_ave_trunc_PTTEND_03,0.9641756415367121,0.8673183917999261,0.8951248526573181,0.9818267226219171
test_skill_ave_trunc_PTTEND_02,0.9665357470512391,0.8858488798141481,0.9332355260848991,0.982467770576477
test_skill_ave_trunc_PTTEND_01,0.9702405929565431,0.8922595977783201,0.921333074569702,0.9804025888442991
test_skill_ave_trunc_PTTEND_00,0.9754745364189141,0.82989901304245,0.606594562530517,0.9852458834648131
test_skill_ave_trunc_PTTEND,0.9280180335044861,0.39154532551765403,0.41307675838470403,0.832161366939544
test_skill_ave_trunc_PTEQ_29,0.8310309052467341,0.036114860326051004,0.0,0.6597604155540461
test_skill_ave_trunc_PTEQ_28,0.8994233012199401,0.025341367349028,0.0,0.630212128162384
test_skill_ave_trunc_PTEQ_27,0.9014676213264461,0.008237577043473,0.0,0.609133124351501
test_skill_ave_trunc_PTEQ_26,0.905677556991577,0.0,0.0,0.5820010304450981
test_skill_ave_trunc_PTEQ_25,0.911850214004516,0.0,0.0,0.563702702522277
test_skill_ave_trunc_PTEQ_24,0.9058291912078851,0.0,0.0,0.569338977336883
test_skill_ave_trunc_PTEQ_23,0.8804467916488641,0.0,0.0,0.562430799007415
test_skill_ave_trunc_PTEQ_22,0.906681716442108,0.102428011596202,0.0,0.5664240121841431
test_skill_ave_trunc_PTEQ_21,0.8953526020050041,0.009666961617767,0.0,0.500562667846679
test_skill_ave_trunc_PTEQ_20,0.808825969696044,0.024903325363993003,0.0,0.48332646489143305
test_skill_ave_trunc_PTEQ_19,0.795081555843353,0.25367486476898105,0.0,0.5323129892349241
test_skill_ave_trunc_PTEQ_18,0.8022654056549071,0.48675560951232905,0.021937899291515003,0.6657195687294001
test_skill_ave_trunc_PTEQ_17,0.912854492664337,0.6348580718040461,0.041836731135845004,0.8218918442726131
test_skill_ave_trunc_PTEQ_16,0.9435591697692871,0.6309630870819091,0.054136648774147006,0.894296884536743
test_skill_ave_trunc_PTEQ_15,0.963700056076049,0.607677221298217,0.341565996408462,0.9284085631370541
test_skill_ave_trunc_PTEQ_14,0.974397897720336,0.636157095432281,0.8823130726814271,0.933320939540863
test_skill_ave_trunc_PTEQ_13,0.977182865142822,0.6174795031547541,0.8795095086097711,0.9131942391395561
test_skill_ave_trunc_PTEQ_12,0.972763657569885,0.513207554817199,0.663894832134246,0.8761932849884031
test_skill_ave_trunc_PTEQ_11,0.959207952022552,0.23952564597129802,0.51847630739212,0.823834776878356
test_skill_ave_trunc_PTEQ_10,0.0,0.0,0.528447687625885,0.7460168600082391
test_skill_ave_trunc_PTEQ_09,0.0,0.0,0.105377867817878,0.6568059921264641
